,Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
36,2024,2,02/02/2024 1:25 PM,02/02/2024 1:26 PM,"0 Hours, 1 Minutes","Constellation Energy Generation, LLC",SERC,Illinois,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility-- Suspicious activity",0,0
37,2024,2,02/04/2024 7:37 AM,02/04/2024 9:20 AM,"1 Hours, 43 Minutes",LUMA Energy,,Puerto Rico,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,90,115374
38,2024,2,02/04/2024 2:00 PM,02/04/2024 3:59 PM,"1 Hours, 59 Minutes",Sacramento Municipal Utility District,WECC,California,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster - Other",Unknown,167000
39,2024,2,02/04/2024 2:00 PM,02/05/2024 3:00 AM,"13 Hours, 0 Minutes",Sacramento Municipal Utility District,WECC,California,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",1230,200000
40,2024,2,02/05/2024 6:30 PM,02/05/2024 6:31 PM,"0 Hours, 1 Minutes","Constellation Energy Generation, LLC",SERC,Illinois,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility-- Suspicious activity",0,0
41,2024,2,02/06/2024 7:15 PM,02/06/2024 7:16 PM,"0 Hours, 1 Minutes","Constellation Energy Generation, LLC",SERC,Illinois,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility-- Suspicious activity",0,0
42,2024,2,02/07/2024 11:01 AM,02/07/2024 11:06 AM,"0 Hours, 5 Minutes",LUMA Energy,,Puerto Rico,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,10,0
43,2024,2,02/07/2024 10:10 PM,02/07/2024 10:34 PM,"0 Hours, 24 Minutes",LUMA Energy,,Puerto Rico,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,Unknown,Unknown
44,2024,2,02/08/2024 12:45 PM,02/08/2024 1:45 PM,"1 Hours, 0 Minutes",Lafayette Public Power Auth,SERC,Louisiana,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.-- Other,200,0
45,2024,2,02/13/2024 8:00 AM,. .,". Hours, . Minutes",PPL Electric Utilities Corp,RF,Pennsylvania,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,100000
46,2024,2,02/13/2024 8:56 AM,02/13/2024 12:40 PM,"3 Hours, 44 Minutes",PPL Electric Utilities Corp,RF,Pennsylvania,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,165000
47,2024,2,02/20/2024 8:04 PM,02/20/2024 8:55 PM,"0 Hours, 51 Minutes","CenterPoint Energy Houston Electric, LLC",Texas RE,Texas,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility-- Suspicious activity",0,0
48,2024,2,02/22/2024 12:10 AM,02/22/2024 1:10 AM,"1 Hours, 0 Minutes",Minnesota Power,MRO,Minnesota,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.-- Unknown,0,0
49,2024,2,02/28/2024 2:19 PM,02/28/2024 2:35 PM,"0 Hours, 16 Minutes",LUMA Energy,Unknown,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Generator loss or failure - Other,75,66403
50,2024,2,02/28/2024 9:30 PM,. .,". Hours, . Minutes",National Grid,NPCC,New York,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,76076
51,2024,2,02/28/2024 11:35 PM,02/29/2024 8:50 AM,"9 Hours, 15 Minutes",ISO New England,NPCC,"Connecticut, Massachusetts, Maine, Rhode Island, Vermont, New Hampshire","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,50000
52,2024,2,02/29/2024 12:00 PM,02/29/2024 12:01 PM,"0 Hours, 1 Minutes",Bethlehem Energy Center,NPCC,New York: Albany County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Unknown",Unknown,Unknown
53,2024,3,03/04/2024 4:17 PM,03/04/2024 4:30 PM,"0 Hours, 13 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.-- Generator loss or failure,80,90104
54,2024,3,03/06/2024 9:30 PM,03/06/2024 9:31 PM,"0 Hours, 1 Minutes","Constellation Energy Generation, LLC",SERC,Illinois: De Witt County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
55,2024,3,03/08/2024 6:45 AM,03/08/2024 6:53 AM,"0 Hours, 8 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.-- Generator loss or failure,115,87196
56,2024,3,03/08/2024 6:45 AM,03/08/2024 6:58 AM,"0 Hours, 13 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.-- Generator loss or failure,Unknown,Unknown
57,2024,3,03/10/2024 10:55 AM,03/11/2024 4:00 AM,"17 Hours, 5 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,60755
58,2024,3,03/12/2024 5:28 AM,03/12/2024 5:30 AM,"0 Hours, 2 Minutes","Constellation Energy Generation, LLC",SERC,Illinois: De Witt County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
59,2024,3,03/13/2024 4:39 PM,03/13/2024 5:05 PM,"0 Hours, 26 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy/System-wide voltage reductions of 3 percent or more-- Generator loss or failure,100,90664
60,2024,3,03/13/2024 4:40 PM,03/13/2024 5:05 PM,"0 Hours, 25 Minutes",LUMA Energy,Unknown,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,Unknown,Unknown
61,2024,3,03/14/2024 8:53 AM,03/14/2024 9:08 AM,"0 Hours, 15 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy/System-wide voltage reductions of 3 percent or more-- Generator loss or failure,228,Unknown
62,2024,3,03/15/2024 10:00 AM,03/15/2024 10:13 AM,"0 Hours, 13 Minutes",LUMA Energy,Unknown,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Generator loss or failure,30,70361
63,2024,3,03/22/2024 1:12 AM,03/22/2024 4:49 PM,"15 Hours, 37 Minutes",CenterPoint Energy,Texas RE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,125077
64,2024,3,03/23/2024 5:22 PM,. .,". Hours, . Minutes",National Grid,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,88134
65,2024,3,03/23/2024 9:40 PM,03/26/2024 4:00 AM,"54 Hours, 20 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Maine: Rhode Island: Vermont: New Hampshire:,"Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",Unknown,110000
66,2024,3,03/25/2024 11:21 AM,03/25/2024 6:53 PM,"7 Hours, 32 Minutes","CenterPoint Energy Houston Electric, LLC",Texas RE,Texas: Harris County;,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.-- Unknown,0,0
67,2024,3,03/26/2024 1:18 PM,03/26/2024 2:02 PM,"0 Hours, 44 Minutes",Central Maine Power Company,NPCC,Maine:,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.-- Other,0,0
68,2024,3,03/29/2024 8:41 PM,03/29/2024 9:14 PM,"0 Hours, 33 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy/System-wide voltage reductions of 3 percent or more-Unknown,215,Unknown
69,2024,3,03/30/2024 3:20 PM,03/30/2024 3:33 PM,"0 Hours, 13 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy/System-wide voltage reductions of 3 percent or more-- Fuel supply emergency,Unknown,Unknown
70,2024,3,03/30/2024 5:55 PM,03/30/2024 6:05 PM,"0 Hours, 10 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy/System-wide voltage reductions of 3 percent or more-Unknown,163,Unknown
71,2024,3,03/30/2024 6:30 PM,03/30/2024 11:17 PM,"4 Hours, 47 Minutes",LUMA Energy,Unknown,Puerto Rico:,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy/System-wide voltage reductions of 3 percent or more-- Generator loss or failure,Unknown,Unknown
